seed,class_name,alpha,rho,method,ranking,budget,residual_region_fnr,lam
0,marine_debris,0.05,0.1,region_crc,area,0.0,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.05,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.1,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.15,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.2,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.25,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.3,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.35,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.4,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.45,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,area,0.5,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.0,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.05,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.1,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.15,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.2,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.25,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.3,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.35,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.4,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.45,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,random,0.5,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.0,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.05,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.1,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.15,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.2,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.25,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.3,0.0,0.9820526637316748
0,marine_debris,0.05,0.1,region_crc,oracle,0.35,0.0,0.9820526637316748
